 AnimalID,animaltype,birthweight,birthweightadj,sireframescore,bcsrecent,bcsprevious,bcsdifference,damweightatwean,weandate,weangpd,weanheight,weanweight,weanwda,weanweightdate,adj205h,adj205w,weanframescore,ageatwean,yearlingheight,yearlingdate,yearlingweight,adjyearlingh,adjyearlingw,yearlingframescore,ageatyearling,customweight,customweightdate,customheight,customheightdate,currentwtcow,adj365dht,currentwtheifer,backfat,treatment,blockpen,replicate,email_id
27,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1356,0,0,0,0,0,0,test
28,Cow,102,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
29,Cow,80,88,0,0,0,0,0,11/15/2011,2.2,44.5,566,2.5,11/15/2011,44.9,0,0,0,0,4/26/2012,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1811,0,0,0,0,0,0,test
30,Cow,118,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
31,Cow,70,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1234,0,0,0,0,0,0,test
32,Cow,68,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
33,Cow,100,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1314,0,0,0,0,0,0,test
34,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1214,0,0,0,0,0,0,test
35,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1380,0,0,0,0,0,0,test
36,Cow,90,98,0,0,0,0,0,11/15/2011,1.9,43.5,506,2.3,11/15/2011,44,0,0,0,0,4/26/2012,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1439,0,0,0,0,0,0,test
37,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1309,0,0,0,0,0,0,test
38,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1367,0,0,0,0,0,0,test
39,Cow,106,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1370,0,0,0,0,0,0,test
40,Cow,94,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
41,Cow,88,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1281,0,0,0,0,0,0,test
42,Cow,80,88,0,0,0,0,0,11/15/2011,1.9,44,494,2.3,11/15/2011,44.7,0,0,0,0,4/26/2012,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1549,0,0,0,0,0,0,test
43,Cow,82,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1269,0,0,0,0,0,0,test
44,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1435,0,0,0,0,0,0,test
45,Cow,110,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1723,0,0,0,0,0,0,test
46,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1264,0,0,0,0,0,0,test
47,Cow,112,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1549,0,0,0,0,0,0,test
48,Cow,96,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1405,0,0,0,0,0,0,test
49,Cow,104,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
50,Steer,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
51,Cow,110,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1361,0,0,0,0,0,0,test
52,Cow,0,8,0,0,0,0,0,1/1/1960,0,45,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1557,0,0,0,0,0,0,test
53,Cow,80,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1414,0,0,0,0,0,0,test
54,Cow,115,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1240,0,0,0,0,0,0,test
55,Cow,80,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1410,0,0,0,0,0,0,test
56,Cow,70,8,0,0,0,0,0,1/1/1960,2.3,44,0,2.3,1/1/1960,44.4,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
57,Cow,70,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
58,Cow,96,104,0,0,0,0,0,10/28/2010,1.8,41.5,419,2.3,10/28/2010,42.9,0,0,0,0,6/23/2011,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1471,0,0,0,0,0,0,test
59,Cow,80,85,0,0,0,0,0,7/17/2012,1.6,41,365,2,7/17/2012,41.2,0,0,0,0,11/15/2012,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1089,0,0,0,0,0,0,test
60,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
61,Cow,70,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1444,0,0,0,0,0,0,test
62,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,48,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1548,0,0,0,0,0,0,test
63,Cow,96,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1373,0,0,0,0,0,0,test
64,Cow,50,0,0,0,0,0,0,1/1/1960,2.1,46,0,2.1,1/1/1960,45.7,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1335,0,0,0,0,0,0,test
65,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1245,0,0,0,0,0,0,test
66,Cow,0,8,0,0,0,0,0,1/1/1960,0,42.5,0,0,1/1/1960,0,0,0,0,0,1/1/1960,914,0,0,0,0,0,1/1/1960,0,1/1/1960,1342,0,0,0,0,0,0,test
67,Cow,60,68,0,0,0,0,0,7/17/2012,1.5,41.5,472,1.7,7/17/2012,40.5,0,0,0,0,6/23/2012,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1440,0,0,0,0,0,0,test
68,Cow,94,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1314,0,0,0,0,0,0,test
69,Cow,80,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1155,0,0,0,0,0,0,test
70,Cow,110,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1338,0,0,0,0,0,0,test
71,Cow,74,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1274,0,0,0,0,0,0,test
72,Cow,70,70,0,0,0,0,0,1/1/1960,1.5,41.5,0,1.8,1/1/1960,41.2,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1060,0,0,0,0,0,0,test
73,Cow,0,8,0,0,0,0,0,1/1/1960,0,43,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1313,0,0,0,0,0,0,test
74,Cow,122,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1485,0,0,0,0,0,0,test
75,Cow,82,82,0,0,0,0,0,1/1/1960,1.5,0,0,1.8,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1169,0,0,0,0,0,0,test
76,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,878,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
77,Cow,68,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1227,0,0,0,0,0,0,test
78,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1119,0,0,0,0,0,0,test
79,Cow,110,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1694,0,0,0,0,0,0,test
80,Cow,76,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1195,0,0,0,0,0,0,test
81,Cow,70,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
82,Cow,96,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1359,0,0,0,0,0,0,test
83,Cow,102,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1330,0,0,0,0,0,0,test
84,Cow,0,5,0,0,0,0,0,1/1/1960,2.3,41,0,2.3,1/1/1960,42,0,0,0,0,1/1/1960,813,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
85,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1801,0,0,0,0,0,0,test
86,Cow,78,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
87,Cow,80,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1329,0,0,0,0,0,0,test
88,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1362,0,0,0,0,0,0,test
89,Cow,100,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1287,0,0,0,0,0,0,test
90,Cow,0,99,0,0,0,0,0,1/1/1960,1.9,42,0,2.5,1/1/1960,43.4,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1108,0,0,0,0,0,0,test
91,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
92,Cow,90,98,0,0,0,0,0,1/1/1960,1.9,42,416,2.4,1/1/1960,43.7,0,0,0,0,6/23/2011,838,0,0,0,0,0,1/1/1960,0,1/1/1960,1428,0,0,0,0,0,0,test
93,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,665,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
94,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1390,0,0,0,0,0,0,test
95,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,845,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
96,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1227,0,0,0,0,0,0,test
97,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,837,0,0,0,0,0,1/1/1960,0,1/1/1960,1158,0,0,0,0,0,0,test
98,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
99,Cow,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
100,Cow,70,70,0,0,0,0,0,10/29/2012,1.2,43.5,389,1.4,10/29/2012,41.9,0,0,0,0,3/26/2013,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1283,0,0,0,0,0,0,test
101,Cow,76,79,0,0,0,0,0,10/29/2012,1.7,46.5,511,2,10/29/2012,45.8,0,0,0,0,3/26/2013,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1429,0,0,0,0,0,0,test
102,Cow,88,91,0,0,0,0,0,10/29/2012,2.1,0,582,2.4,10/29/2012,0,0,0,0,0,3/26/2013,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1272,0,0,0,0,0,0,test
103,Cow,60,60,0,0,0,0,0,10/29/2012,1.9,47,498,2.1,10/29/2012,46.3,0,0,0,0,3/26/2013,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1379,0,0,0,0,0,0,test
104,Cow,70,70,0,0,0,0,0,10/29/2012,1.6,44,441,1.9,10/29/2012,43.3,0,0,0,44,3/26/2013,850,0,0,0,0,0,1/1/1960,0,1/1/1960,1288,43.6,0,0,0,0,0,test
105,Cow,70,72,0,0,0,0,0,10/29/2012,2.1,46,556,2.4,10/29/2012,45.8,0,0,0,48,3/26/2012,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1296,47,0,0,0,0,0,test
106,Cow,88,91,0,0,0,0,0,10/29/2012,1.5,43.5,438,1.9,10/29/2012,43.7,0,0,0,45,3/26/2013,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1325,44,0,0,0,0,0,test
107,Cow,66,71,0,0,0,0,0,10/29/2012,1.7,42.5,444,2,10/29/2012,42.8,0,0,0,47,3/26/2013,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1178,46.3,0,0,0,0,0,test
108,Cow,90,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1354,0,0,0,0,0,0,test
109,Cow,66,66,0,0,0,0,0,10/29/2012,1.8,43,452,2.1,10/29/2012,42.8,0,0,0,45,3/26/2013,634,0,0,0,0,0,1/1/1960,0,1/1/1960,1210,44.4,0,0,0,0,0,test
110,Cow,64,66,0,0,0,0,0,10/29/2012,1.7,43.5,433,2,10/29/2012,43.7,0,0,0,45,3/26/2013,791,0,0,0,0,0,1/1/1960,0,1/1/1960,1378,44.4,0,0,0,0,0,test
111,Cow,60,65,0,0,0,0,0,10/29/2012,1.8,45,454,2.1,10/29/2012,45.5,0,0,0,47,3/26/2013,841,0,0,0,0,0,1/1/1960,0,1/1/1960,1372,47.1,0,0,0,0,0,test
112,Cow,70,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
113,Cow,92,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1764,0,0,0,0,0,0,test
114,Cow,80,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1361,0,0,0,0,0,0,test
115,Cow,70,72,0,0,0,0,0,10/29/2012,2,43.5,484,2.3,10/29/2012,43.8,0,0,0,45.5,3/26/2013,734,0,0,0,0,0,1/1/1960,0,1/1/1960,1309,45,0,0,0,0,0,test
116,Cow,74,74,0,0,0,0,0,10/29/2012,2,44.25,504,2.4,10/29/2012,44.1,0,0,0,49,3/26/2012,759,0,0,0,0,0,1/1/1960,0,1/1/1960,1422,0,0,0,0,0,0,test
117,Cow,0,0,0,0,0,0,0,1/1/1960,0,45.5,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
118,Cow,60,60,0,0,0,0,0,10/29/2012,1.6,42.5,387,1.9,10/29/2012,42.5,0,0,0,47,3/26/2013,679,0,0,0,0,0,1/1/1960,0,1/1/1960,1436,46.6,0,0,0,0,0,test
119,Cow,72,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1133,0,0,0,0,0,0,test
120,Cow,74,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,1347,0,0,0,0,0,0,test
121,Cow,80,82,0,0,0,0,0,10/29/2012,1.3,42,343,1.8,10/29/2012,42.6,0,0,0,45.5,3/26/2013,0,0,0,0,0,0,1/1/1960,0,1/1/1960,968,46,0,0,0,0,0,test
122,Bull,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
123,Cow,88,88,0,0,0,0,0,10/29/2012,1.5,42,388,2,10/29/2012,42.3,0,0,0,48,3/26/2013,668,0,0,0,0,0,1/1/1960,0,1/1/1960,1398,48.6,0,0,0,0,0,test
124,Cow,88,88,0,0,0,0,0,10/29/2012,2.2,48,505,2.6,10/29/2012,48.3,0,0,0,49,3/26/2013,615,0,0,0,0,0,1/1/1960,0,1/1/1960,1262,48.9,0,0,0,0,0,test
125,Cow,78,78,0,0,0,0,0,10/29/2012,2,45.5,460,2.5,10/29/2012,46,0,0,0,50,3/26/2013,668,0,0,0,0,0,1/1/1960,0,1/1/1960,1499,50.1,0,0,0,0,0,test
126,Cow,86,86,0,0,0,0,0,10/29/2012,2.2,46.5,492,2.6,10/29/2012,47,0,0,0,51,3/26/2013,652,0,0,0,0,0,1/1/1960,0,1/1/1960,1663,51.1,0,0,0,0,0,test
127,Cow,78,78,0,0,0,0,0,10/29/2012,1.9,44,436,2.4,10/29/2012,44.5,0,0,0,50,3/26/2013,673,0,0,0,0,0,1/1/1960,0,1/1/1960,1742,50.1,0,0,0,0,0,test
128,Bull,0,0,0,0,0,0,0,1/1/1960,0,0,0,0,1/1/1960,0,0,0,0,0,1/1/1960,0,0,0,0,0,0,1/1/1960,0,1/1/1960,0,0,0,0,0,0,0,test
